Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.26     0.00     2079     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.26     0.00     2024     0.00     0.00  __gnu_cxx::__normal_iterator<ClickableTile const*, std::vector<ClickableTile, std::allocator<ClickableTile> > >::__normal_iterator(ClickableTile const* const&)
  0.00      0.26     0.00     2016     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::pair<int, int> const, bool> >::operator==(std::_Rb_tree_const_iterator<std::pair<std::pair<int, int> const, bool> > const&) const
  0.00      0.26     0.00     1480     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, bool>, std::_Select1st<std::pair<std::pair<int, int> const, bool> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, bool> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.26     0.00     1480     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, bool>, std::_Select1st<std::pair<std::pair<int, int> const, bool> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, bool> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.26     0.00     1464     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.26     0.00     1452     0.00     0.00  Drawable*&& std::forward<Drawable*>(std::remove_reference<Drawable*>::type&)
  0.00      0.26     0.00     1421     0.00     0.00  ClickableTile&& std::forward<ClickableTile>(std::remove_reference<ClickableTile>::type&)
  0.00      0.26     0.00     1358     0.00     0.00  std::piecewise_construct_t const& std::forward<std::piecewise_construct_t const&>(std::remove_reference<std::piecewise_construct_t const&>::type&)
  0.00      0.26     0.00     1358     0.00     0.00  std::tuple<>&& std::forward<std::tuple<> >(std::remove_reference<std::tuple<> >::type&)
  0.00      0.26     0.00     1340     0.00     0.00  Drawable::~Drawable()
  0.00      0.26     0.00     1322     0.00     0.00  ClickableTile* std::__addressof<ClickableTile>(ClickableTile&)
  0.00      0.26     0.00     1268     0.00     0.00  std::vector<ClickableTile, std::allocator<ClickableTile> >::end()
  0.00      0.26     0.00     1268     0.00     0.00  std::vector<ClickableTile, std::allocator<ClickableTile> >::begin()
  0.00      0.26     0.00     1241     0.00     0.00  std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > >::begin()
  0.00      0.26     0.00     1225     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, bool>, std::_Select1st<std::pair<std::pair<int, int> const, bool> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, bool> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.26     0.00     1166     0.00     0.00  Board::Width() const
  0.00      0.26     0.00     1145     0.00     0.00  std::tuple<std::pair<int, int> const&>&& std::forward<std::tuple<std::pair<int, int> const&> >(std::remove_reference<std::tuple<std::pair<int, int> const&> >::type&)
  0.00      0.26     0.00     1111     0.00     0.00  ClickableTile::~ClickableTile()
  0.00      0.26     0.00     1104     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::pair<int, int> const, bool> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.26     0.00     1088     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, bool>, std::_Select1st<std::pair<std::pair<int, int> const, bool> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, bool> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.26     0.00     1080     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, bool>, std::_Select1st<std::pair<std::pair<int, int> const, bool> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, bool> > >::_M_get_Node_allocator()
  0.00      0.26     0.00     1042     0.00     0.00  std::move_iterator<ClickableTile*>::base() const
  0.00      0.26     0.00     1019     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::pair<int, int> const, bool> >::_M_ptr()
  0.00      0.26     0.00     1019     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::pair<int, int> const, bool> >::_M_addr()
  0.00      0.26     0.00     1019     0.00     0.00  std::_Rb_tree_node<std::pair<std::pair<int, int> const, bool> >::_M_valptr()
  0.00      0.26     0.00     1012     0.00     0.02  Game::Update(unsigned int)
  0.00      0.26     0.00     1012     0.00     0.00  Window::ClearScreen() const
  0.00      0.26     0.00     1012     0.00     0.00  Window::Present() const
  0.00      0.26     0.00     1012     0.00     0.00  std::vector<ClickableTile, std::allocator<ClickableTile> >::end() const
  0.00      0.26     0.00     1012     0.00     0.00  std::vector<ClickableTile, std::allocator<ClickableTile> >::begin() const
  0.00      0.26     0.00     1012     0.00     0.00  std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > >::end() const
  0.00      0.26     0.00     1012     0.00     0.00  std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > >::begin() const
  0.00      0.26     0.00     1008     0.00     0.00  std::map<std::pair<int, int>, bool, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, bool> > >::count(std::pair<int, int> const&) const
  0.00      0.26     0.00     1008     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, bool>, std::_Select1st<std::pair<std::pair<int, int> const, bool> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, bool> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<std::pair<int, int> const, bool> > const*, std::_Rb_tree_node_base const*, std::pair<int, int> const&) const
  0.00      0.26     0.00     1008     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, bool>, std::_Select1st<std::pair<std::pair<int, int> const, bool> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, bool> > >::find(std::pair<int, int> const&) const
  0.00      0.26     0.00     1008     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, bool>, std::_Select1st<std::pair<std::pair<int, int> const, bool> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, bool> > >::_M_end() const
  0.00      0.26     0.00     1008     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, bool>, std::_Select1st<std::pair<std::pair<int, int> const, bool> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, bool> > >::_M_begin() const
  0.00      0.26     0.00      951     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >&& std::forward<std::unique_ptr<Drawable, std::default_delete<Drawable> > >(std::remove_reference<std::unique_ptr<Drawable, std::default_delete<Drawable> > >::type&)
  0.00      0.26     0.00      918     0.00     0.00  std::pair<int, int> const& std::forward<std::pair<int, int> const&>(std::remove_reference<std::pair<int, int> const&>::type&)
  0.00      0.26     0.00      903     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<Texture, std::default_delete<Texture> > > >::_M_ptr()
  0.00      0.26     0.00      903     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<Texture, std::default_delete<Texture> > > >::_M_addr()
  0.00      0.26     0.00      903     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<Texture, std::default_delete<Texture> > > >::_M_valptr()
  0.00      0.26     0.00      900     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<Texture, std::default_delete<Texture> > > >::_M_v()
  0.00      0.26     0.00      811     0.00     0.00  ClickableTile::ClickableTile(ClickableTile&&)
  0.00      0.26     0.00      811     0.00     0.00  Drawable::Drawable(Drawable const&)
  0.00      0.26     0.00      811     0.00     0.00  void std::_Destroy<ClickableTile>(ClickableTile*)
  0.00      0.26     0.00      713     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::~unique_ptr()
  0.00      0.26     0.00      697     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, bool>, std::_Select1st<std::pair<std::pair<int, int> const, bool> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, bool> > >::_M_end()
  0.00      0.26     0.00      683     0.00     0.00  __gnu_cxx::__normal_iterator<std::unique_ptr<Drawable, std::default_delete<Drawable> >*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > >::operator+(int) const
  0.00      0.26     0.00      675     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >* std::__niter_base<std::unique_ptr<Drawable, std::default_delete<Drawable> >*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > >(__gnu_cxx::__normal_iterator<std::unique_ptr<Drawable, std::default_delete<Drawable> >*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > >)
  0.00      0.26     0.00      656     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
